"id","age","year","wrkstat","hrs1","marital","degree","sphrs1","postlife","sex","SIBS","agekdbrn","othlang","born","neisafe","hsbio","hschem","natspac","nextgen","grass","hrlax","colsci","fmi","numpets","trust","tvhours","sop","ssi","sphrs2","educ","moos","faos","realrinc","wordsum","rhs","Male","pres"
1562,NA,2018,"working fulltime",50,"married","high school",40,"yes","male",3,NA,"no","yes","very safe",NA,NA,NA,NA,NA,2,NA,63560,1,"can't be too careful",1,64,82,NA,14,53,NA,45400,3,NA,"male",46
570,NA,2018,"working fulltime",45,"married","bachelor",NA,NA,"female",3,NA,"no","no","somewhat safe","yes","yes","about right","agree",NA,4,"no",NA,NA,"can't be too careful",1,44,56,NA,16,NA,59,NA,8,NA,"female",75
1473,NA,2018,"working fulltime",40,"divorced","junior college",NA,"yes","male",5,23,"no","yes","somewhat safe","yes","no","too much","agree","legal",0,NA,14755,NA,"can't be too careful",2,NA,NA,NA,14,48,NA,14755,7,"good","male",35
1963,NA,2018,"working fulltime",40,"married","graduate",NA,"yes","male",7,NA,"yes","yes","somewhat safe","yes","no",NA,"agree",NA,4,"yes",NA,NA,NA,1,27,14,NA,20,27,47,NA,5,NA,"male",64
419,NA,2018,"working fulltime",35,"married","junior college",40,"yes","female",5,23,"yes","no","very safe",NA,NA,NA,NA,"not legal",2,NA,24970,4,"can trust",1,46,52,NA,14,42,49,24970,3,NA,"female",47
1441,NA,2018,"working parttime",16,"married","high school",NA,NA,"female",3,NA,"no","yes","very safe","yes","no",NA,"agree",NA,5,"yes",9647,NA,NA,0,NA,NA,NA,12,53,NA,9647,4,NA,"female",40
659,NA,2018,"working fulltime",NA,"never married","high school",NA,"no","female",3,NA,"no","yes","somewhat safe","no","no",NA,"agree","legal",NA,"yes",37455,NA,"can't be too careful",2,NA,NA,NA,13,47,34,37455,6,"good","female",51
377,18,2018,"working fulltime",60,"never married","high school",NA,"yes","female",3,NA,"no","yes","very safe","yes","yes","about right","agree","legal",2,"yes",24970,NA,"can't be too careful",1,NA,NA,NA,14,63,NA,2497,5,NA,"female",48
1113,18,2018,"working fulltime",40,"never married","high school",NA,"no","female",2,NA,"no","yes","very safe",NA,NA,NA,NA,"legal",NA,NA,NA,8,"can trust",NA,NA,NA,NA,12,48,31,NA,NA,NA,"female",25
738,18,2018,"working parttime",35,"never married","high school",NA,"yes","male",3,NA,"no","yes","very safe",NA,NA,NA,NA,"not legal",5,NA,63560,0,"can trust",NA,NA,NA,NA,12,60,64,908,NA,NA,"male",50
745,18,2018,"working fulltime",33,"never married","high school",NA,"yes","male",2,NA,"no","yes","very safe",NA,NA,NA,NA,"not legal",8,NA,30645,8,"can't be too careful",NA,NA,NA,NA,12,35,28,NA,NA,NA,"male",25
2055,18,2018,"working fulltime",30,"never married","lt high school",NA,NA,"male",2,NA,"no","yes","somewhat unsafe",NA,NA,"about right","agree",NA,3,"no",12485,NA,NA,2,28,21,NA,8,31,NA,2043,7,"fair","male",33
591,18,2018,"working parttime",20,"never married","lt high school",NA,"yes","female",2,NA,"yes","yes","somewhat safe","yes","yes","about right","strongly agree","legal",5,"no",NA,NA,"can't be too careful",3,NA,NA,NA,11,NA,35,NA,3,"good","female",41
1053,18,2018,"unempl, laid off",NA,"never married","high school",NA,"yes","female",3,NA,"no","yes","somewhat safe","yes","yes","too little","agree",NA,NA,"no",10782,NA,NA,3,NA,NA,NA,12,31,NA,NA,2,"good","female",NA
144,18,2018,"school",NA,"never married","high school",NA,"yes","male",4,NA,"no","yes","somewhat unsafe","yes","yes","too much","disagree",NA,NA,"no",8512,NA,"depends",4,NA,NA,NA,12,64,64,NA,8,"good","male",NA
161,18,2018,"school",NA,"never married","lt high school",NA,"yes","female",2,NA,"yes","yes","very safe",NA,NA,NA,NA,"legal",NA,NA,NA,0,"can't be too careful",NA,NA,NA,NA,11,38,25,NA,NA,NA,"female",NA
162,18,2018,"school",NA,"never married","high school",NA,"yes","female",2,NA,"yes","yes","somewhat safe","yes","yes",NA,"strongly agree","legal",NA,"no",54480,NA,"can't be too careful",4,NA,NA,NA,12,44,49,NA,5,"excellent","female",NA
214,18,2018,"school",NA,"never married","lt high school",NA,"yes","female",2,NA,"no","yes","somewhat safe","yes","yes","about right","strongly agree","legal",NA,"no",6242,NA,"can trust",0,NA,NA,NA,11,NA,NA,NA,1,"excellent","female",NA
295,18,2018,"school",NA,"never married","high school",NA,"yes","female",4,NA,"no","yes","very safe",NA,NA,"about right",NA,"not legal",NA,NA,908,4,"can't be too careful",NA,NA,NA,NA,11,48,NA,NA,NA,"good","female",NA
297,18,2018,"school",NA,"never married","lt high school",NA,"yes","female",1,NA,NA,"yes","very safe","yes","yes","about right","agree","legal",NA,"no",63560,NA,"can't be too careful",1,NA,NA,NA,11,52,NA,NA,5,"good","female",NA
1161,18,2018,"school",NA,"never married","lt high school",NA,"yes","female",1,NA,"no","yes","very safe","yes","yes","about right","strongly agree",NA,NA,"yes",119879,NA,NA,2,NA,NA,NA,11,46,39,NA,7,"good","female",NA
1257,18,2018,"school",NA,"never married","high school",NA,"yes","female",5,NA,"no","yes","very safe","yes","no","about right","strongly agree",NA,NA,"no",20430,NA,NA,6,NA,NA,NA,12,48,31,NA,4,NA,"female",NA
1878,18,2018,"school",NA,"never married","lt high school",NA,"no","male",3,NA,"yes","yes","somewhat safe",NA,NA,"too little",NA,"legal",NA,NA,24970,0,"can't be too careful",NA,NA,NA,NA,10,NA,28,NA,NA,"excellent","male",NA
1942,18,2018,"school",NA,"never married","high school",NA,"yes","female",0,NA,"yes","yes","very safe",NA,NA,NA,NA,NA,NA,NA,NA,0,"depends",NA,NA,NA,NA,12,44,38,NA,NA,"good","female",NA
2072,18,2018,"school",NA,"never married","lt high school",NA,"yes","female",1,NA,"yes","no","somewhat safe","yes","yes",NA,"strongly agree",NA,NA,"no",NA,NA,"can't be too careful",1,NA,NA,NA,11,31,62,NA,5,"excellent","female",65
393,18,2018,"keeping house",NA,"never married","lt high school",NA,"yes","female",3,NA,"yes","yes","very safe","yes","no",NA,"agree",NA,NA,"no",NA,NA,NA,5,NA,NA,NA,9,NA,NA,NA,5,NA,"female",NA
846,18,2018,"keeping house",NA,"never married","high school",NA,"yes","female",1,NA,"yes","yes","somewhat safe","yes","yes","about right","strongly agree",NA,NA,"no",30645,NA,NA,1,NA,NA,NA,12,42,NA,NA,6,NA,"female",NA
1559,18,2018,"keeping house",NA,"never married","high school",NA,"yes","male",2,NA,"no","yes","very safe",NA,NA,NA,NA,"legal",NA,NA,NA,1,"can't be too careful",NA,NA,NA,NA,12,47,35,NA,NA,"good","male",NA
1838,18,2018,"keeping house",NA,"married","high school",40,"yes","female",6,18,"yes","yes","very safe",NA,NA,NA,NA,"not legal",NA,NA,NA,3,"can trust",NA,38,42,NA,12,NA,44,NA,NA,NA,"female",35
1628,19,2018,"working fulltime",57,"never married","high school",NA,"yes","male",3,NA,"yes","yes","very safe","yes","yes","too much","disagree",NA,2,"no",NA,NA,"can't be too careful",2,48,24,NA,12,35,35,NA,1,"good","male",28
756,19,2018,"working fulltime",54,"never married","high school",NA,"yes","male",1,NA,"no","yes","somewhat unsafe",NA,NA,NA,NA,"legal",2,NA,45400,6,"can't be too careful",NA,53,41,NA,11,53,50,NA,NA,NA,"male",35
1704,19,2018,"working fulltime",50,"never married","high school",NA,NA,"female",6,NA,"no","yes","somewhat unsafe","yes","no",NA,"agree",NA,0,"no",1589,NA,NA,5,NA,NA,NA,12,69,28,908,6,NA,"female",24
146,19,2018,"working fulltime",45,"never married","high school",NA,"no","male",1,NA,"yes","yes","somewhat unsafe","yes","yes","too much","disagree",NA,8,"no",30645,NA,NA,0,NA,NA,NA,12,48,NA,NA,6,"fair","male",33
171,19,2018,"working fulltime",45,"never married","high school",NA,"yes","male",0,NA,"no","yes","somewhat safe",NA,NA,"too little",NA,"not legal",7,NA,30645,1,"can't be too careful",NA,NA,NA,NA,12,NA,51,3405,NA,NA,"male",24
907,19,2018,"working fulltime",40,"never married","high school",NA,"yes","female",3,NA,"yes","yes","very unsafe","yes","yes","too much","agree","legal",0,"no",2497,NA,"can't be too careful",4,NA,NA,NA,12,35,NA,908,4,"excellent","female",21
802,19,2018,"working fulltime",38,"married","high school",50,"yes","female",5,NA,"no","yes","somewhat safe","yes","yes","too much","agree","not legal",6,"no",NA,NA,"can't be too careful",1,51,61,NA,12,NA,32,10782,7,"excellent","female",53
917,19,2018,"working parttime",28,"never married","high school",NA,"yes","female",3,NA,"yes","yes","somewhat safe",NA,NA,NA,NA,"legal",NA,NA,63560,1,"can't be too careful",NA,NA,NA,NA,11,53,17,NA,NA,NA,"female",33
711,19,2018,"working parttime",22,"never married","lt high school",NA,NA,"male",4,NA,"yes","no","somewhat safe","yes","no",NA,"agree",NA,1,"no",5107,NA,NA,0,NA,NA,NA,9,35,27,NA,5,"good","male",24
939,19,2018,"working parttime",20,"never married","high school",NA,"yes","female",3,NA,"yes","yes","very safe","yes","no","about right","strongly agree",NA,20,"yes",24970,NA,NA,0,NA,NA,NA,13,33,31,908,6,"excellent","female",38
1104,19,2018,"working parttime",20,"never married","high school",NA,"no","male",3,NA,"no","yes","somewhat unsafe","yes","yes","about right","agree",NA,2,"no",9647,NA,NA,0,NA,NA,NA,12,45,NA,NA,8,NA,"male",25
1017,19,2018,"working fulltime",NA,"never married","high school",NA,"yes","female",1,NA,"no","yes","very safe","yes","yes","too little","agree",NA,NA,"yes",119879,NA,NA,2,NA,NA,NA,13,59,63,1589,6,"good","female",34
721,19,2018,"working parttime",NA,"never married","lt high school",NA,"yes","female",4,NA,"no","yes","very safe",NA,NA,"about right",NA,"legal",NA,NA,37455,4,"can't be too careful",NA,NA,NA,NA,11,41,28,908,NA,"excellent","female",35
820,19,2018,"unempl, laid off",NA,"never married","high school",NA,"yes","male",6,NA,"no","yes","somewhat safe",NA,NA,"too much",NA,"legal",NA,NA,20430,0,"can't be too careful",NA,NA,NA,NA,12,46,NA,2951,NA,"excellent","male",50
266,19,2018,"school",NA,"never married","high school",NA,"yes","male",1,NA,"yes","yes","very safe","no","yes","about right","strongly agree","legal",NA,"yes",24970,NA,"can't be too careful",1,NA,NA,NA,13,49,54,NA,6,"good","male",NA
456,19,2018,"school",NA,"never married","high school",NA,"yes","male",1,NA,"yes","yes","somewhat safe","yes","yes","about right","strongly agree",NA,NA,"yes",30645,NA,NA,1,NA,NA,NA,13,NA,26,NA,7,"excellent","male",NA
475,19,2018,"school",NA,"never married","lt high school",NA,"yes","female",4,17,"yes","yes","very safe",NA,NA,NA,NA,"legal",NA,NA,4086,3,"can't be too careful",NA,NA,NA,NA,9,NA,NA,NA,NA,NA,"female",NA
1617,19,2018,"school",NA,"never married","high school",NA,"yes","male",1,NA,"yes","yes","very safe",NA,NA,"too little",NA,"legal",NA,NA,45400,6,"can trust",NA,NA,NA,NA,12,38,49,908,NA,"excellent","male",31
1780,19,2018,"school",NA,"never married","high school",NA,"no","female",3,NA,"yes","yes","somewhat safe","yes","no","about right","strongly agree","legal",NA,"no",20430,NA,"can't be too careful",1,NA,NA,NA,13,35,31,NA,4,"fair","female",28
2009,19,2018,"school",NA,"never married","high school",NA,"yes","female",1,NA,"no","yes","somewhat safe",NA,NA,NA,NA,"legal",NA,NA,2497,0,"can't be too careful",NA,NA,NA,NA,12,NA,50,NA,NA,NA,"female",NA
2010,19,2018,"school",NA,"never married","high school",NA,"yes","female",2,NA,"yes","yes","somewhat safe","yes","yes","about right","agree","legal",NA,"yes",4086,NA,"can't be too careful",2,NA,NA,NA,12,23,NA,NA,4,"good","female",NA
2011,19,2018,"school",NA,"never married","high school",NA,"no","male",2,NA,"no","yes","somewhat safe","yes","no",NA,"strongly agree",NA,NA,"yes",227,NA,NA,2,NA,NA,NA,12,39,49,NA,8,NA,"male",NA
2149,19,2018,"school",NA,"never married","lt high school",NA,"yes","male",2,NA,"no","yes","very safe","yes","yes",NA,"agree","not legal",NA,"yes",54480,NA,"can't be too careful",1,NA,NA,NA,11,31,46,NA,4,"good","male",NA
2343,19,2018,"school",NA,"never married","high school",NA,"no","male",3,NA,"no","yes","somewhat safe",NA,NA,"about right",NA,"legal",NA,NA,7377,2,"can't be too careful",NA,NA,NA,NA,12,39,35,NA,NA,"excellent","male",NA
649,19,2018,"keeping house",NA,"never married","lt high school",NA,"yes","female",7,NA,"no","no","somewhat safe",NA,NA,NA,"strongly agree","not legal",NA,"no",8512,NA,"can't be too careful",3,31,23,NA,6,NA,46,5107,3,NA,"female",24
717,19,2018,"keeping house",NA,"never married","high school",NA,"yes","male",1,NA,"yes","no","very safe",NA,NA,"too much",NA,"legal",NA,NA,72640,0,"can't be too careful",NA,NA,NA,NA,13,NA,62,NA,NA,"good","male",NA
2159,20,2018,"working fulltime",65,"never married","high school",NA,"yes","female",5,NA,"yes","yes","somewhat safe","yes","yes","about right","agree",NA,2,"no",227,NA,NA,2,NA,NA,NA,13,21,45,227,7,"good","female",31
1915,20,2018,"working fulltime",60,"never married","high school",NA,"yes","male",4,NA,"no","yes","very unsafe",NA,NA,NA,NA,"legal",5,NA,8512,0,"can't be too careful",NA,NA,NA,NA,11,24,NA,NA,NA,NA,"male",43
1770,20,2018,"working fulltime",44,"never married","high school",NA,"no","male",5,NA,"no","yes","somewhat safe","yes","yes","too much","agree","legal",6,"yes",72640,NA,"can't be too careful",1,NA,NA,NA,13,31,53,NA,6,"excellent","male",35
735,20,2018,"working fulltime",42,"never married","high school",NA,"yes","female",1,NA,"no","yes","very safe","yes","yes","about right","agree",NA,4,"yes",45400,NA,NA,2,NA,NA,NA,16,39,58,3405,6,"good","female",60
30,20,2018,"working parttime",40,"never married","high school",NA,"yes","male",3,NA,"yes","yes","very safe",NA,NA,"about right",NA,NA,6,NA,54480,0,"can't be too careful",NA,NA,NA,NA,14,64,45,6242,NA,"excellent","male",31
403,20,2018,"working fulltime",38,"never married","high school",NA,"yes","female",7,NA,"yes","yes","somewhat safe",NA,NA,"about right",NA,"legal",8,NA,NA,5,"depends",NA,NA,NA,NA,12,31,31,908,NA,NA,"female",31
1615,20,2018,"working fulltime",36,"never married","high school",NA,"yes","female",1,NA,"yes","yes","very safe",NA,NA,"about right",NA,"not legal",6,NA,NA,2,"can trust",NA,NA,NA,NA,14,64,73,908,NA,"good","female",74
158,20,2018,"working parttime",30,"never married","high school",NA,"yes","female",3,NA,"yes","yes","somewhat unsafe","yes","yes",NA,"strongly agree",NA,1,"yes",20430,NA,NA,1,NA,NA,NA,14,33,35,2951,4,"good","female",61
1587,20,2018,"working parttime",27,"never married","high school",NA,"yes","male",6,NA,"no","yes","somewhat unsafe","yes","no","too little","agree","legal",4,"no",45400,NA,"can't be too careful",3,NA,NA,NA,13,64,39,NA,6,"good","male",24
2303,20,2018,"unempl, laid off",NA,"never married","high school",NA,"yes","female",7,NA,"no","yes","very safe",NA,NA,"about right",NA,"legal",NA,NA,4086,12,"can't be too careful",NA,NA,NA,NA,12,28,NA,NA,NA,"excellent","female",NA
604,20,2018,"school",NA,"never married","high school",NA,"yes","male",2,NA,"yes","yes","very safe","yes","yes","too little","strongly disagree",NA,NA,"yes",4086,NA,NA,2,NA,NA,NA,12,35,38,227,4,"excellent","male",40
942,20,2018,"school",NA,"never married","lt high school",NA,"yes","male",2,NA,"yes","yes","very safe",NA,NA,NA,NA,"legal",NA,NA,227,0,"can trust",NA,NA,NA,NA,11,NA,28,NA,NA,NA,"male",NA
1351,20,2018,"school",NA,"never married","high school",NA,"yes","male",3,NA,"no","yes","very safe",NA,NA,"too little",NA,"legal",NA,NA,NA,0,"can trust",NA,NA,NA,NA,13,NA,50,NA,NA,"excellent","male",NA
2127,20,2018,"school",NA,"never married","high school",NA,"yes","female",1,NA,"no","yes","very safe",NA,NA,NA,NA,"legal",NA,NA,24970,2,"can't be too careful",NA,NA,NA,NA,13,47,49,227,NA,NA,"female",35
2119,20,2018,"keeping house",NA,"married","lt high school",48,"yes","female",13,18,"no","yes","very safe",NA,NA,NA,NA,"legal",NA,NA,5107,15,"can't be too careful",NA,29,20,NA,10,48,NA,NA,NA,NA,"female",NA
1671,21,2018,"working fulltime",48,"never married","high school",NA,"yes","male",2,NA,"no","yes","very safe","yes","no",NA,"agree",NA,1,"no",24970,NA,NA,4,NA,NA,NA,12,38,NA,17025,5,"good","male",32
1057,21,2018,"working fulltime",44,"never married","lt high school",NA,"yes","male",0,NA,"no","yes","very safe",NA,NA,"too much",NA,"not legal",5,NA,14755,0,"can't be too careful",NA,NA,NA,NA,9,38,NA,6242,NA,"good","male",38
2253,21,2018,"working fulltime",44,"never married","high school",NA,"yes","female",8,21,"no","yes","very safe","yes","no",NA,"strongly agree",NA,6,"no",24970,NA,NA,10,32,33,NA,12,27,NA,NA,4,"excellent","female",48
2298,21,2018,"working fulltime",42,"never married","high school",NA,"yes","female",5,NA,"no","yes","very safe","yes","yes","too much","disagree",NA,5,"no",4086,NA,NA,0,NA,NA,NA,13,18,NA,1589,3,"excellent","female",25
1884,21,2018,"working fulltime",40,"never married","high school",NA,"yes","male",4,NA,"yes","yes","somewhat unsafe","yes","yes","about right","agree",NA,4,"no",2951,NA,NA,0,NA,NA,NA,12,NA,NA,227,5,NA,"male",29
2262,21,2018,"working fulltime",40,"never married","high school",NA,"yes","female",5,NA,"yes","yes","somewhat safe","yes","yes","too little","strongly agree",NA,5,"yes",10782,NA,NA,7,NA,NA,NA,16,31,28,10782,3,"excellent","female",45
1125,21,2018,"working parttime",36,"never married","high school",NA,"no","male",1,NA,"yes","yes","somewhat safe","yes","yes","about right","agree",NA,15,"yes",8512,NA,NA,2,NA,NA,NA,15,51,65,2043,6,"excellent","male",35
1426,21,2018,"working parttime",36,"never married","high school",NA,"yes","female",5,NA,"no","yes","very safe",NA,NA,NA,NA,"not legal",5,NA,NA,3,"can trust",0,NA,NA,NA,15,38,NA,2497,8,NA,"female",31
75,21,2018,"working fulltime",35,"never married","high school",NA,"yes","male",3,NA,"no","yes","very safe",NA,NA,NA,NA,"legal",3,NA,45400,2,"can't be too careful",NA,NA,NA,NA,14,64,65,3405,NA,NA,"male",45
466,21,2018,"working parttime",30,"never married","high school",NA,"yes","female",5,NA,"yes","yes","very safe",NA,NA,NA,NA,"legal",5,NA,54480,2,"can't be too careful",NA,NA,NA,NA,14,NA,48,3405,NA,"excellent","female",23
1127,21,2018,"working parttime",24,"never married","high school",NA,"yes","female",4,NA,"no","yes","very safe","yes","yes","too much","strongly agree","legal",5,"yes",2043,NA,"can't be too careful",2,NA,NA,NA,15,NA,43,2043,7,"excellent","female",NA
554,21,2018,"working parttime",20,"never married","high school",NA,"no","female",3,NA,"yes","yes","very safe",NA,NA,NA,NA,"legal",2,NA,37455,1,"can't be too careful",NA,NA,NA,NA,12,36,36,2951,NA,NA,"female",31
688,21,2018,"working parttime",20,"married","high school",10,"yes","female",2,18,"no","yes","somewhat safe","yes","no",NA,"agree",NA,4,"no",NA,NA,NA,4,22,14,NA,11,39,NA,5107,7,"good","female",28
894,21,2018,"working parttime",16,"never married","high school",NA,"yes","male",4,NA,"yes","yes","somewhat safe",NA,NA,NA,NA,"legal",14,NA,17025,0,"can trust",NA,NA,NA,NA,15,55,NA,NA,NA,NA,"male",NA
674,21,2018,"unempl, laid off",NA,"never married","high school",NA,"no","female",1,NA,"no","yes","very safe","yes","yes",NA,"strongly agree",NA,NA,"yes",2043,NA,NA,2,43,57,NA,15,46,47,2043,5,NA,"female",31
1133,21,2018,"unempl, laid off",NA,"never married","high school",NA,"yes","male",2,NA,"yes","yes","somewhat unsafe",NA,NA,"too much",NA,"legal",NA,NA,6242,0,"can't be too careful",NA,NA,NA,NA,15,NA,63,908,NA,"excellent","male",38
1237,21,2018,"unempl, laid off",NA,"never married","high school",NA,"yes","male",3,NA,"no","yes","somewhat safe","yes","yes","too little","agree",NA,NA,"no",72640,NA,NA,1,NA,NA,NA,14,45,47,NA,8,NA,"male",29
1993,21,2018,"unempl, laid off",NA,"never married","high school",NA,NA,"male",3,19,"no","yes","somewhat safe","no","no",NA,"disagree",NA,NA,"no",NA,NA,NA,0,38,25,NA,12,NA,38,NA,6,NA,"male",37
186,21,2018,"school",NA,"never married","high school",NA,"no","female",1,NA,"yes","yes","very safe",NA,NA,NA,NA,"legal",NA,NA,72640,0,"can't be too careful",NA,NA,NA,NA,14,64,48,908,NA,NA,"female",31
189,21,2018,"school",NA,"never married","high school",NA,"no","female",1,NA,"yes","yes","somewhat safe",NA,NA,"about right",NA,"legal",NA,NA,NA,0,"can't be too careful",NA,NA,NA,NA,14,38,60,NA,NA,"excellent","female",18
1128,21,2018,"school",NA,"never married","high school",NA,"yes","female",3,NA,"yes","yes","very safe",NA,NA,"too little",NA,"legal",NA,NA,30645,1,"can trust",NA,NA,NA,NA,15,31,48,1589,NA,"excellent","female",31
1132,21,2018,"school",NA,"never married","high school",NA,NA,"male",1,NA,"yes","no","somewhat unsafe","yes","yes",NA,"strongly agree",NA,NA,"yes",119879,NA,NA,3,NA,NA,NA,14,58,63,NA,7,NA,"male",NA
1357,21,2018,"school",NA,"never married","high school",NA,"no","male",1,NA,"no","yes","very safe",NA,NA,NA,NA,"legal",NA,NA,908,0,"can trust",NA,NA,NA,NA,14,NA,49,NA,NA,NA,"male",NA
1361,21,2018,"school",NA,"never married","high school",NA,"yes","male",2,NA,"yes","yes","very safe","yes","yes",NA,"strongly agree",NA,NA,"yes",908,NA,NA,1,NA,NA,NA,14,45,63,NA,6,NA,"male",NA
1572,21,2018,"school",NA,"never married","high school",NA,"yes","male",3,NA,"no","yes","somewhat safe",NA,NA,NA,NA,"not legal",NA,NA,24970,1,"can't be too careful",NA,NA,NA,NA,15,61,37,5107,NA,NA,"male",21
1947,21,2018,"school",NA,"never married","high school",NA,"yes","male",1,NA,"yes","yes","very safe",NA,NA,NA,NA,"legal",NA,NA,908,0,"can trust",0,NA,NA,NA,15,NA,80,NA,9,NA,"male",NA
1118,21,2018,"keeping house",NA,"never married","high school",NA,"yes","female",4,NA,"yes","no","somewhat safe","yes","yes",NA,"agree","not legal",NA,"no",227,NA,"can't be too careful",20,NA,NA,NA,12,NA,45,NA,4,"excellent","female",NA
965,22,2018,"working fulltime",55,"married","high school",40,"yes","male",4,NA,"no","yes","very safe",NA,NA,NA,NA,"legal",9,NA,37455,6,"can't be too careful",0,55,37,NA,13,53,53,37455,5,NA,"male",50
1054,22,2018,"working fulltime",50,"never married","high school",NA,"yes","male",6,NA,"no","yes","somewhat safe","yes","yes","about right","agree","legal",6,"no",5107,NA,"can't be too careful",1,39,67,NA,13,37,74,5107,6,"good","male",33
2074,22,2018,"working fulltime",50,"never married","high school",NA,"yes","male",2,NA,"no","yes","somewhat unsafe","yes","no","too little","agree","legal",4,"no",9647,NA,"can't be too careful",10,NA,NA,NA,12,28,NA,8512,5,"excellent","male",25
446,22,2018,"working fulltime",48,"never married","high school",NA,"yes","male",2,NA,"yes","yes","somewhat safe","yes","yes","too much","strongly agree","legal",3,"yes",54480,NA,"can't be too careful",4,NA,NA,NA,12,NA,48,24970,2,"good","male",38
1201,22,2018,"working fulltime",48,"married","high school",29,"yes","male",2,19,"no","yes","somewhat unsafe",NA,NA,"too little",NA,"legal",3,NA,14755,0,"can't be too careful",NA,48,26,NA,12,53,41,10782,NA,"good","male",37
610,22,2018,"working fulltime",45,"never married","lt high school",NA,"no","male",4,NA,"yes","no","somewhat safe","no","no","about right","agree",NA,2,"no",NA,NA,NA,1,NA,NA,NA,11,NA,28,2043,1,"excellent","male",27
1547,22,2018,"working fulltime",43,"married","lt high school",58,"yes","female",5,NA,"no","yes","somewhat safe",NA,NA,"about right",NA,"legal",5,NA,45400,10,"can't be too careful",NA,27,19,NA,12,38,38,NA,NA,"good","female",38
136,22,2018,"working fulltime",40,"never married","high school",NA,"yes","female",2,NA,"yes","yes","very safe","yes","no",NA,"disagree","legal",4,"no",24970,NA,"can trust",0,NA,NA,NA,12,35,NA,NA,3,"good","female",38
460,22,2018,"working fulltime",40,"married","junior college",44,"no","female",1,NA,"no","yes","somewhat safe",NA,NA,NA,NA,"not legal",7,NA,12485,2,"can't be too careful",20,67,73,NA,14,48,56,NA,2,NA,"female",16
676,22,2018,"working fulltime",40,"never married","high school",NA,"yes","male",1,NA,"no","yes","very safe",NA,NA,"too little",NA,"legal",6,NA,30645,3,"can't be too careful",NA,NA,NA,NA,14,47,45,10782,NA,"good","male",40
1122,22,2018,"working fulltime",40,"never married","high school",NA,"yes","female",7,20,"yes","no","somewhat safe","yes","yes","about right","strongly agree",NA,4,"no",14755,NA,NA,1,25,23,NA,12,25,NA,2951,5,"excellent","female",43
1222,22,2018,"working fulltime",40,"never married","high school",NA,"yes","male",2,NA,"no","yes","very safe",NA,NA,NA,NA,"not legal",2,NA,30645,1,"can't be too careful",NA,NA,NA,NA,12,53,46,17025,NA,NA,"male",45
1247,22,2018,"working fulltime",40,"never married","high school",NA,"yes","male",2,NA,"no","yes","somewhat safe",NA,NA,"too little",NA,"legal",3,NA,30645,0,"can't be too careful",NA,NA,NA,NA,13,54,28,NA,NA,"excellent","male",31
1299,22,2018,"working parttime",40,"never married","lt high school",NA,"yes","male",1,21,"yes","yes","somewhat unsafe",NA,NA,NA,NA,"not legal",0,NA,1589,0,"can't be too careful",NA,28,21,NA,11,35,NA,NA,NA,NA,"male",49
1157,22,2018,"working parttime",33,"never married","high school",NA,"yes","male",4,NA,"yes","yes","very safe",NA,NA,NA,NA,"legal",2,NA,45400,1,"can't be too careful",NA,NA,NA,NA,14,33,50,8512,NA,NA,"male",34
51,22,2018,"working fulltime",30,"never married","high school",NA,"yes","male",2,NA,"no","yes","very safe",NA,NA,"too little",NA,"legal",2,NA,NA,1,"can't be too careful",NA,NA,NA,NA,14,38,53,NA,NA,"excellent","male",47
96,22,2018,"working parttime",30,"never married","high school",NA,"yes","male",2,NA,"no","yes","somewhat safe",NA,NA,NA,NA,"not legal",8,NA,NA,0,"can't be too careful",NA,NA,NA,NA,14,47,51,NA,NA,NA,"male",35
652,22,2018,"working parttime",30,"never married","high school",NA,"yes","female",4,19,"no","yes","somewhat unsafe","yes","yes","too little","agree",NA,2,"no",2043,NA,NA,1,NA,NA,NA,12,48,NA,2043,4,"good","female",38
1481,22,2018,"working parttime",30,"never married","high school",NA,"yes","male",3,NA,"no","yes","somewhat safe",NA,NA,NA,NA,NA,7,NA,20430,3,"can't be too careful",NA,NA,NA,NA,12,NA,NA,2497,NA,"good","male",28
1687,22,2018,"working parttime",25,"never married","high school",NA,"yes","male",2,NA,"no","yes","very safe",NA,NA,"too little",NA,"legal",4,NA,30645,3,"can't be too careful",NA,NA,NA,NA,12,55,42,NA,NA,"good","male",24
1259,22,2018,"working parttime",22,"never married","high school",NA,"yes","male",3,NA,"no","yes","somewhat safe",NA,NA,"too little",NA,NA,12,NA,NA,2,"can't be too careful",NA,NA,NA,NA,12,32,NA,NA,NA,"good","male",33
803,22,2018,"working parttime",20,"never married","high school",NA,"yes","female",3,NA,"yes","no","somewhat safe","yes",NA,NA,"agree",NA,3,"no",9647,NA,NA,3,44,28,NA,12,25,NA,2497,3,NA,"female",22
1987,22,2018,"working parttime",16,"never married","high school",NA,"yes","female",10,16,"no","yes","somewhat unsafe",NA,NA,NA,NA,"legal",4,NA,6242,0,"can't be too careful",NA,39,38,NA,12,28,38,NA,NA,NA,"female",34
245,22,2018,"working parttime",15,"never married","high school",NA,"yes","female",0,NA,"yes","yes","somewhat unsafe","yes","no","about right","agree","legal",0,"yes",2951,NA,"can't be too careful",3,NA,NA,NA,14,NA,49,NA,6,"fair","female",22
