"id","age","year","wrkstat","hrs1","marital","degree","sphrs1","postlife","sex","SIBS","agekdbrn","othlang","born","neisafe","hsbio","hschem","natspac","nextgen","grass","hrlax","colsci","fmi","numpets","trust","tvhours","sop","ssi","sphrs2","educ","moos","faos","realrinc","wordsum","rhs","Male","pres"
2170,74,2018,"retired",NA,"never married","bachelor",NA,"yes","female",4,NA,"no","yes","very safe","yes","no",NA,"agree",NA,NA,"yes",24970,NA,NA,3,NA,NA,NA,16,61,39,NA,8,NA,"female",61
2177,74,2018,"retired",NA,"divorced","high school",NA,"yes","male",1,23,"no","yes","somewhat safe",NA,NA,NA,NA,"not legal",NA,NA,6242,0,"can trust",5,NA,NA,NA,12,25,27,NA,4,NA,"male",46
2268,74,2018,"retired",NA,"married","high school",NA,"yes","male",1,23,"no","yes","very safe","yes","no","about right","agree","not legal",NA,"no",12485,NA,"can trust",3,35,21,NA,12,NA,29,NA,5,NA,"male",49
2329,74,2018,"retired",NA,"widowed","graduate",NA,"yes","male",3,24,"no","yes","very safe",NA,NA,NA,NA,"not legal",NA,NA,45400,0,"can't be too careful",NA,NA,NA,NA,17,51,35,NA,NA,NA,"male",73
2332,74,2018,"retired",NA,"divorced","high school",NA,"yes","female",2,NA,"no","yes","very safe","yes","yes","too little","strongly agree","not legal",NA,"no",9647,NA,"can trust",3,NA,NA,NA,12,49,NA,NA,9,"good","female",47
566,74,2018,"keeping house",NA,"widowed","bachelor",NA,NA,"female",2,28,"no","yes","very safe",NA,NA,NA,NA,NA,NA,NA,24970,2,"can trust",NA,NA,NA,NA,16,NA,80,NA,NA,NA,"female",55
2271,74,2018,"keeping house",NA,"widowed","lt high school",NA,"yes","female",3,17,"no","yes","somewhat safe",NA,NA,NA,NA,"not legal",NA,NA,NA,4,"can't be too careful",2,NA,NA,NA,8,NA,46,NA,5,NA,"female",32
2085,75,2018,"working fulltime",38,"married","high school",NA,"yes","female",0,24,"no","yes","very safe","yes","no","about right","agree",NA,4,"no",NA,NA,NA,1,32,62,NA,12,35,39,NA,7,"excellent","female",31
2345,75,2018,"working parttime",36,"married","high school",NA,"yes","female",9,19,"no","yes","very safe","no","no","too much","strongly agree",NA,5,"no",14755,NA,NA,6,35,32,NA,12,NA,27,7377,4,"excellent","female",28
1106,75,2018,"working parttime",32,"divorced","high school",NA,"no","female",10,21,"no","yes","very safe",NA,NA,NA,NA,"legal",8,NA,24970,0,"can't be too careful",1,NA,NA,NA,12,NA,46,24970,6,NA,"female",48
16,75,2018,"working parttime",19,"widowed","high school",NA,NA,"female",1,20,"no","yes","very safe","no","no",NA,"agree",NA,5,"no",30645,NA,NA,5,NA,NA,NA,12,16,39,5107,5,NA,"female",53
2316,75,2018,"working parttime",10,"married","lt high school",NA,"no","male",11,19,"no","yes","very safe",NA,NA,NA,"agree",NA,4,"no",NA,NA,NA,NA,48,24,NA,NA,NA,40,NA,2,NA,"male",35
2299,75,2018,"unempl, laid off",NA,"separated","lt high school",NA,NA,"male",5,25,"no","yes","somewhat safe",NA,NA,NA,NA,"legal",NA,NA,1589,0,"can't be too careful",NA,NA,NA,NA,6,25,NA,NA,NA,NA,"male",35
49,75,2018,"retired",NA,"divorced","bachelor",NA,"yes","male",2,39,"no","yes","very safe","yes","yes","about right","strongly agree","not legal",NA,"yes",54480,NA,"can trust",0,NA,NA,NA,17,NA,72,NA,7,"excellent","male",53
211,75,2018,"retired",NA,"divorced","high school",NA,"yes","male",2,24,"no","yes","very safe",NA,NA,"about right",NA,"legal",NA,NA,8512,2,"depends",NA,NA,NA,NA,14,47,NA,NA,NA,"good","male",38
383,75,2018,"retired",NA,"widowed","bachelor",NA,"yes","female",4,33,"no","no","very safe","yes","no","too much","strongly agree",NA,NA,"yes",45400,NA,NA,2,NA,NA,NA,19,61,NA,NA,9,"good","female",61
415,75,2018,"retired",NA,"never married","lt high school",NA,"yes","female",3,39,"no","yes","very safe",NA,NA,NA,NA,"not legal",NA,NA,NA,0,"can't be too careful",9,NA,NA,NA,8,NA,35,NA,3,NA,"female",NA
